Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_2103,209,5.4,2-stroke,61.808,69.108,Alternator,1.75,OHV,2,10.102,30.209,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2104,204,15.9,OHV,70.903,54.51,None,0.776,DOHC,1,31.003,22.31,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2105,286,21.7,4-stroke,77.908,63.105,None,0.349,OHV,2,65.902,27.022,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2106,628,9.1,V-twin,73.007,46.614,12V DC,2.457,Flathead,1,30.601,19.015,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2107,220,10.6,OHV,60.906,72.007,12V DC,0.527,Flathead,1,21.403,18.211,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2108,611,3.4,V-twin,74.411,50.604,12V DC,0.846,DOHC,1,51.601,26.311,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2109,529,19.8,OHV,78.902,51.906,12V DC,1.868,OHV,1,11.2,18.008,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2110,64,21.1,2-stroke,83.105,52.805,12V DC,2.077,Flathead,1,31.109,29.515,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2111,549,21.4,OHV,63.211,58.304,None,1.968,DOHC,2,54.804,30.21,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2112,338,21.2,V-twin,64.614,53.005,None,2,DOHC,1,52.002,20.612,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2113,238,6.2,2-stroke,78.708,61.508,None,2.198,OHV,1,54.502,29.713,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2114,444,15.8,2-stroke,69.503,55.204,Alternator,2.447,DOHC,2,58.001,26.312,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2115,354,12.5,2-stroke,84.112,46.409,12V DC,1.048,OHV,1,68.403,26.018,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2116,549,5.1,4-stroke,75.909,46.009,None,2.06,DOHC,1,59.704,21.411,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2117,119,23.6,2-stroke,79.708,49.115,None,2.241,OHV,1,21.602,20.708,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2118,65,10.9,4-stroke,75.607,68.308,Alternator,1.216,OHV,1,58.804,20.811,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2119,665,24.1,4-stroke,83.906,74.911,Alternator,2.424,DOHC,2,55.2,31.014,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2120,414,18.7,4-stroke,76.108,65.706,12V DC,1.064,Flathead,2,23.104,23.41,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2121,649,20.5,V-twin,77.411,63.805,Alternator,0.558,OHV,2,35.004,29.809,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2122,361,21.5,V-twin,71.307,73.807,Alternator,1.445,OHV,1,47.807,30.711,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2123,570,23.8,V-twin,76.404,47.804,None,1.217,DOHC,2,63.307,31.512,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2124,632,3.9,2-stroke,57.909,69.01,None,1.072,OHV,2,38.703,28.716,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2125,486,6.7,2-stroke,72.707,53.106,Alternator,1.77,DOHC,1,9.602,31.113,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2126,86,13.2,4-stroke,59.006,68.004,None,2.31,DOHC,1,31.8,32.208,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2127,600,24.5,V-twin,72.812,46.907,None,1.279,DOHC,2,40.302,18.316,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2128,375,5.1,2-stroke,62.305,60.111,12V DC,0.68,DOHC,1,49.205,33.119,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2129,429,22.5,2-stroke,70.511,46.205,Alternator,2.458,OHV,2,20.703,21.92,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2130,515,23.9,2-stroke,68.607,52.411,Alternator,0.456,Flathead,1,61.505,21.516,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2131,698,13,OHV,68.205,69.805,Alternator,0.823,Flathead,2,58.901,27.214,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2132,132,15.5,V-twin,58.808,58.01,None,2.04,OHV,1,8.504,23.411,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2133,267,20.8,2-stroke,73.505,71.604,12V DC,1.698,OHV,1,60.501,34.01,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2134,164,15.4,OHV,77.412,67.403,12V DC,1.771,DOHC,1,38.6,24.21,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2135,489,19.6,OHV,78.307,67.604,12V DC,0.719,DOHC,2,10.305,21.206,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2136,621,11.1,2-stroke,71.107,58.305,12V DC,1.633,OHV,2,24.202,19.72,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2137,667,16,4-stroke,84.502,62.405,Alternator,1.505,Flathead,2,22.204,20.014,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2138,420,15.8,4-stroke,65.411,67.305,12V DC,1.179,DOHC,1,51.104,29.916,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2139,456,2.2,2-stroke,59.306,54.909,12V DC,0.861,DOHC,1,31.801,22.418,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2140,246,20.3,2-stroke,64.412,49.507,12V DC,1.577,Flathead,2,53.005,31.615,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2141,334,20.8,2-stroke,72.509,72.809,Alternator,2.139,Flathead,1,14.706,21.812,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2142,547,3.2,V-twin,65.004,51.605,None,0.671,OHV,2,57.204,34.316,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2143,606,6.7,2-stroke,82.106,47.907,None,1.415,Flathead,1,48.405,30.211,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2144,157,8.2,4-stroke,59.007,54.113,None,0.72,Flathead,1,60.502,29.311,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2145,452,15.2,2-stroke,80.308,49.006,Alternator,1.269,DOHC,1,40.005,28.618,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2146,154,7.6,OHV,62.506,59.009,12V DC,1.446,Flathead,1,66.906,30.917,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2147,266,15.9,2-stroke,65.808,59.703,Alternator,2.033,DOHC,1,54.503,24.71,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2148,187,6,4-stroke,55.312,57.208,12V DC,1.459,Flathead,2,43.203,32.008,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2149,438,23.4,2-stroke,55.313,74.305,Alternator,0.559,DOHC,2,66.104,31.911,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2150,489,19.2,4-stroke,78.709,54.309,None,0.397,DOHC,2,39.901,18.412,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2151,698,17.6,OHV,66.207,61.006,12V DC,0.761,Flathead,1,46.103,19.407,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2152,528,3.5,2-stroke,55.806,67.306,Alternator,1.895,Flathead,1,23.105,21.921,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2153,379,19,V-twin,84.503,74.708,None,0.48,Flathead,1,67.904,22.71,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2154,631,13.4,V-twin,82.503,51.305,None,2.07,Flathead,1,58.902,29.81,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2155,340,4.9,OHV,62.703,63.005,12V DC,2.264,DOHC,1,63.102,32.115,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2156,512,9.4,4-stroke,76.614,64.208,None,1.198,OHV,2,12.701,31.114,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2157,699,8.5,2-stroke,57.706,66.016,Alternator,1.732,OHV,2,16.904,23.617,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2158,649,11.3,OHV,61.408,73.209,Alternator,1.249,DOHC,1,23.502,31.71,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2159,220,8.1,V-twin,77.004,52.007,12V DC,1.545,OHV,2,52.7,30.117,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2160,507,20.8,V-twin,65.412,64.305,Alternator,2.199,OHV,1,32.205,25.41,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2161,461,11,V-twin,67.606,45.706,None,0.901,DOHC,2,35.707,19.108,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2162,79,6.4,4-stroke,74.005,65.61,12V DC,2.207,Flathead,2,10.804,19.615,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2163,346,12.6,4-stroke,72.813,51.606,12V DC,1.164,OHV,2,14.303,24.913,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2164,363,6.5,OHV,77.113,58.011,12V DC,0.538,DOHC,1,22.901,21.517,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2165,477,19,4-stroke,84.204,56.707,None,1.525,DOHC,1,13.003,29.714,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2166,96,6.7,V-twin,66.509,68.811,12V DC,1.02,Flathead,1,12.702,32.313,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2167,490,24.6,4-stroke,82.406,46.01,None,0.418,DOHC,1,16.806,31.616,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2168,101,12.7,OHV,80.209,63.206,None,2.196,Flathead,2,26.404,21.714,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2169,296,11.6,2-stroke,72.814,64.711,None,2.319,OHV,2,69.103,30.712,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2170,576,15.8,4-stroke,60.503,48.003,None,0.481,DOHC,2,55.201,30.517,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2171,58,20.9,V-twin,65.809,45.506,None,0.482,Flathead,2,58.702,23.514,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2172,289,8.6,4-stroke,56.105,49.207,Alternator,2.379,DOHC,2,24.502,25.712,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2173,469,20.6,2-stroke,84.707,47.307,None,1.038,OHV,2,52.305,34.813,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2174,231,19.1,V-twin,74.917,73.408,None,0.457,DOHC,2,25.701,33.924,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2175,268,6.7,OHV,64.006,50.905,12V DC,0.672,DOHC,1,29.007,29.414,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2176,624,5.9,4-stroke,74.312,57.105,12V DC,0.885,DOHC,1,60.605,23.01,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2177,262,7.7,V-twin,82.504,72.304,None,0.98,OHV,2,42.2,20.015,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2178,85,10.1,2-stroke,58.505,68.005,12V DC,2.034,DOHC,1,61.804,30.406,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2179,169,24.4,OHV,74.412,57.403,Alternator,0.973,OHV,2,56.806,26.019,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2180,415,2.7,OHV,63.607,70.509,None,1.785,DOHC,1,11.103,27.415,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2181,642,12.9,2-stroke,58.506,49.705,12V DC,2.311,OHV,1,35.005,23.515,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2182,348,19.5,V-twin,56.908,61.414,12V DC,1.469,Flathead,2,45.905,28.717,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2183,387,3.2,4-stroke,58.207,48.203,12V DC,0.981,Flathead,2,27.706,19.811,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2184,259,9.6,OHV,78.308,52.909,12V DC,0.437,DOHC,1,27.707,22.218,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2185,545,5.7,2-stroke,81.106,57.707,12V DC,1.089,OHV,1,49.902,18.009,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2186,298,20.6,4-stroke,68.507,58.907,12V DC,0.389,DOHC,1,12.703,32.009,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2187,350,21.3,4-stroke,76.203,53.107,12V DC,2.324,DOHC,1,52.804,27.913,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2188,604,20.2,4-stroke,78.405,59.113,Alternator,2.096,OHV,1,31.802,24.408,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2189,289,20.3,OHV,75.608,72.008,12V DC,0.319,OHV,1,67.003,27.416,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2190,636,17.1,V-twin,71.108,59.604,12V DC,1.765,DOHC,2,64.604,18.608,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2191,143,12.8,4-stroke,83.508,62.208,None,1.28,DOHC,1,49.206,30.313,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2192,514,9.9,2-stroke,83.807,52.412,None,0.766,DOHC,2,51.105,19.721,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2193,527,14.7,2-stroke,56.106,69.712,None,0.632,DOHC,1,63.308,18.317,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2194,556,13.3,2-stroke,77.413,68.707,Alternator,0.847,OHV,2,69.602,32.414,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2195,318,14.3,V-twin,73.307,65.403,Alternator,1.935,DOHC,1,33.106,34.911,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2196,451,22.5,2-stroke,66.905,72.908,None,0.32,DOHC,2,45.104,33.509,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2197,76,13.9,OHV,75.609,50.511,12V DC,1.947,Flathead,1,66.403,29.715,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2198,354,8.8,2-stroke,58.709,50.708,None,2.488,Flathead,2,36.605,22.419,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2199,499,24.6,OHV,80.409,58.404,None,2.375,Flathead,1,64.502,30.212,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2200,121,21.1,OHV,84.708,63.006,None,0.928,DOHC,2,33.202,31.711,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2201,639,17.2,V-twin,83.307,48.609,12V DC,1.373,DOHC,1,34.903,24.808,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2202,311,9.1,OHV,62.111,54.707,None,0.929,OHV,2,38.405,27.708,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2203,434,6.9,OHV,79.411,53.91,12V DC,2.097,OHV,2,15.306,18.708,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2204,567,24.9,2-stroke,68.608,59.114,None,2.448,DOHC,1,40.204,24.211,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2205,98,15.3,2-stroke,82.61,51.607,None,0.483,OHV,2,21.404,28.112,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2206,577,8.2,4-stroke,78.108,69.911,Alternator,2.098,Flathead,2,50,19.217,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2207,335,9.7,4-stroke,65.005,65.104,None,0.321,OHV,2,60.606,32.719,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2208,386,23.7,OHV,78.81,62.703,Alternator,2.153,Flathead,2,47.701,26.412,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2209,339,16.7,OHV,67.607,49.409,None,1.117,OHV,2,21.904,18.512,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2210,318,15,2-stroke,74.607,73.311,Alternator,1.506,OHV,1,49.3,22.819,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2211,228,7.1,2-stroke,75.61,45.507,None,0.484,OHV,1,64.403,26.611,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2212,230,11.5,2-stroke,77.414,58.012,12V DC,1.1,OHV,2,21.405,32.514,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2213,256,6.6,4-stroke,71.609,66.806,Alternator,1.716,Flathead,2,37.204,23.412,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2214,497,10.5,4-stroke,74.509,58.602,None,2.154,OHV,2,29.703,32.314,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2215,117,8,V-twin,56.909,72.009,None,1.049,OHV,1,9.503,28.008,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2216,62,14,OHV,69.805,72.61,Alternator,1.751,Flathead,2,57.005,32.811,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2217,265,11.2,4-stroke,77.114,59.01,Alternator,0.409,OHV,2,25.304,27.809,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2218,441,24.4,4-stroke,69.603,73.006,None,1.917,OHV,2,65.802,21.412,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2219,193,9.2,2-stroke,66.705,46.206,12V DC,0.339,Flathead,1,64.001,32.812,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2220,656,21.9,OHV,65.413,46.207,Alternator,2.071,Flathead,1,23.503,22.008,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2221,691,19.5,4-stroke,75.707,55.608,None,1.185,Flathead,2,52.905,21.612,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2222,105,21.4,4-stroke,83.206,46.908,None,1.427,DOHC,1,51.405,20.613,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2223,411,24.5,2-stroke,81.305,65.206,None,1.965,DOHC,2,58.302,34.513,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2224,386,2.5,OHV,66.41,52.413,Alternator,2.246,OHV,1,63.103,24.409,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2225,156,24.3,V-twin,72.815,45.405,12V DC,1.896,Flathead,1,68.705,23.216,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2226,231,24.7,4-stroke,74.608,65.207,None,1.634,DOHC,2,46.903,31.811,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2227,597,19.8,4-stroke,63.905,62.107,None,1.006,DOHC,1,68.804,29.415,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2228,567,17.4,4-stroke,84.308,51.106,Alternator,2.277,OHV,2,17.502,33.613,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2229,673,9.5,V-twin,55.406,74.912,12V DC,1.039,OHV,1,30.403,29.716,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2230,665,10.8,2-stroke,62.507,51.408,None,2.443,Flathead,1,20.402,33.716,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2231,361,6.6,4-stroke,70.904,49.307,Alternator,2.061,DOHC,1,64.605,18.609,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2232,572,19,2-stroke,75.708,64.712,Alternator,0.621,Flathead,1,12.602,24.308,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2233,367,2.6,4-stroke,65.006,57.804,12V DC,0.568,DOHC,2,54.904,31.311,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2234,87,7.4,OHV,66.706,45.508,None,2.247,Flathead,1,14.707,23.113,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2235,202,6.6,2-stroke,60.405,46.107,12V DC,0.419,DOHC,2,11.303,22.82,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2236,539,12.7,2-stroke,77.805,47.308,None,1.589,Flathead,1,22.804,26.612,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2237,257,5.7,2-stroke,63.108,54.31,Alternator,2.397,OHV,2,20.307,29.917,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2238,89,21.5,4-stroke,82.611,46.208,12V DC,1.352,Flathead,2,53.006,28.415,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2239,156,16.2,2-stroke,65.107,70.307,12V DC,0.489,DOHC,2,65.003,34.317,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2240,79,18.2,4-stroke,76.306,56.612,12V DC,1.607,OHV,2,41.602,19.315,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2241,77,4.2,4-stroke,60.205,60.405,12V DC,0.862,OHV,2,25.502,26.215,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2242,135,22.4,V-twin,61.008,46.509,None,0.753,OHV,1,28.408,26.02,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2243,670,11.7,V-twin,78.811,50.512,Alternator,0.902,DOHC,2,34.002,20.016,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2244,342,23.1,V-twin,60.103,73.606,Alternator,2.248,Flathead,1,63.104,27.709,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2245,216,23.5,V-twin,82.808,53.108,None,1.207,OHV,1,18.704,30.713,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2246,71,15.3,OHV,56.216,72.705,None,1.689,OHV,1,47.006,24.914,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2247,352,24.6,OHV,83.404,54.511,12V DC,0.681,OHV,2,35.102,22.42,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2248,610,13,4-stroke,82.205,74.011,None,0.398,OHV,1,44.904,21.113,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
